step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/alpha_t_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1e-5-actor/alpha_t_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr7.5e-6-actor/alpha_t_step
1,1.2499999999999999e-06,1.0000000000000002e-06,7.5e-07
2,1.2499999999999999e-06,1.0000000000000002e-06,7.5e-07
3,2.4999999999999998e-06,2.0000000000000003e-06,1.5e-06
4,3.7499999999999997e-06,3e-06,2.25e-06
5,4.9999999999999996e-06,4.000000000000001e-06,3e-06
6,6.2499999999999995e-06,4.9999999999999996e-06,3.7499999999999997e-06
7,7.499999999999999e-06,6e-06,4.5e-06
8,8.75e-06,7e-06,5.25e-06
9,1e-05,8.000000000000001e-06,6e-06
10,1.125e-05,9e-06,6.750000000000001e-06
11,1.25e-05,1e-05,7.499999999999999e-06
12,1.25e-05,1e-05,7.499999999999999e-06
13,1.174563692364359e-05,9.272174080477186e-06,6.9853854648613765e-06
14,1.099127384728718e-05,8.796390594987528e-06,6.57512479114256e-06
15,1.056427863594214e-05,8.33800964436144e-06,5.8509683522453574e-06
16,8.5e-06,6.741875138466602e-06,5.475770359306131e-06
17,7.499999999999999e-06,6.281043800299202e-06,4.61700506165213e-06
18,6.5e-06,5.537252560359043e-06,3.9e-06
19,5.500000000000001e-06,4.793461320418883e-06,3.3000000000000006e-06
20,4.499999999999999e-06,4.09514154615237e-06,2.6999999999999996e-06
21,3.4999999999999995e-06,3.3754174515605992e-06,2.5769013087573177e-06
22,2.4999999999999998e-06,2.9030394671060406e-06,2.1743681817181793e-06
23,2.4999999999999998e-06,2.9030394671060406e-06,2.1743681817181793e-06
24,2.4999999999999998e-06,1.8546878461665067e-06,2.1743681817181793e-06
25,2.4999999999999998e-06,2.2823778227427574e-06,2.2079373312623257e-06
26,2.6309364601441576e-06,2.294842359532224e-06,2.2079373312623257e-06
27,2.6309364601441576e-06,2.294842359532224e-06,2.4937073474306367e-06
28,2.6309364601441576e-06,1.9098603445867963e-06,2.4937073474306367e-06
